date,average,max,sum
2020-01-01,2744.75,3107,65874
2020-01-02,2791.7916666666665,3196,67003
2020-01-03,2825.5,3263,67812
2020-01-04,2980.1666666666665,3486,71524
2020-01-05,3104.0,3778,74496
2020-01-06,3609.25,4201,86622
2020-01-07,3869.5,4501,92868
2020-01-08,3883.5833333333335,4653,93206
2020-01-09,3563.75,4090,85530
2020-01-10,3611.6666666666665,4127,86680
2020-01-11,3422.3333333333335,4001,82136
2020-01-12,3300.8333333333335,3796,79220
2020-01-13,3255.875,3812,78141
2020-01-14,3581.1666666666665,4131,85948
2020-01-15,3733.875,4414,89613
2020-01-16,3789.2916666666665,4332,90943
2020-01-17,3795.875,4559,91101
2020-01-18,3821.9166666666665,4448,91726
2020-01-19,3291.4166666666665,3855,78994
2020-01-20,3630.0833333333335,4240,87122
2020-01-21,3733.375,4362,89601
2020-01-22,3985.4166666666665,4735,95650
2020-01-23,3967.125,4727,95211
2020-01-24,3604.7916666666665,4222,86515
2020-01-25,3403.7083333333335,3865,81689
2020-01-26,3409.9583333333335,3997,81839
2020-01-27,4024.5416666666665,4764,96589
2020-01-28,4186.333333333333,5042,100472
2020-01-29,3472.5833333333335,4085,83342
2020-01-30,3337.7916666666665,3777,80107
2020-01-31,3553.0833333333335,4151,85274
2020-02-01,3317.9583333333335,3766,79631
2020-02-02,3115.7083333333335,3669,74777
2020-02-03,3471.5,4056,83316
2020-02-04,3599.375,4165,86385
2020-02-05,3626.625,4151,87039
2020-02-06,4033.0416666666665,4852,96793
2020-02-07,4109.5,4756,98628
2020-02-08,3517.125,3937,84411
2020-02-09,3413.1666666666665,4141,81916
2020-02-10,3852.9583333333335,4630,92471
2020-02-11,3547.625,4110,85143
2020-02-12,3667.375,4303,88017
2020-02-13,3392.3333333333335,4122,81416
2020-02-14,3349.7083333333335,3831,80393
2020-02-15,3065.8333333333335,3432,73580
2020-02-16,3074.9583333333335,3609,73799
2020-02-17,3325.9166666666665,3919,79822
2020-02-18,3517.0,4096,84408
2020-02-19,3552.5,4010,85260
2020-02-20,3543.5416666666665,4016,85045
2020-02-21,3374.5,3807,80988
2020-02-22,3031.125,3379,72747
2020-02-23,2840.4583333333335,3420,68171
2020-02-24,3048.2083333333335,3542,73157
2020-02-25,3417.5833333333335,3913,82022
