年月日,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,平均蒸気圧,平均湿度,平均現地気圧
2020/1/1,5.6,10.7,1.7,0,9.3,0,4.2,4.1,46,1017
2020/1/2,6.5,13.2,1.5,0,9.3,0,2.2,5.3,57,1017.1
2020/1/3,5.4,13.1,-1.6,0,9.4,0,1.5,5.6,65,1012.5
2020/1/4,7.1,12.7,2.8,0,8.3,0,3.6,5.1,53,1010.5
2020/1/5,4.8,9.5,1.9,0,7.7,0,3.8,5.2,62,1017.6
2020/1/6,6.9,11.7,2.3,0,8.6,0,4.9,4.5,46,1021.7
2020/1/7,3.9,7.6,-0.3,1,0.6,0,1.4,5.8,73,1021.4
2020/1/8,5.9,12.1,3.8,3.5,3.6,0,1.7,8.1,88,999.8
2020/1/9,9.7,14.1,3.9,0,9.5,0,4.7,5.9,51,1005.4
2020/1/10,6.7,13.3,1.2,0,8.2,0,2.5,5.5,58,1012.3
2020/1/11,5.4,10.1,3,0,4.8,0,1.8,5.9,67,1011.7
2020/1/12,5.3,9.3,0.1,0,1.7,0,1.3,6.7,76,1007.5
2020/1/13,7.9,14.3,1.6,0,9,0,1.8,6.9,66,1007.8
2020/1/14,7.6,12.8,2.1,0,7.9,0,1.4,7.1,69,1015.7
2020/1/15,7,10.9,4.4,2,3,0,2.4,7.8,77,1012.8
2020/1/16,5.7,11.6,1.1,0,9.1,0,2.5,4.7,54,1017.5
2020/1/17,6,10.6,1.1,0,4.8,0,1.8,5.5,59,1015.5
2020/1/18,4,6.5,1.8,0,0,0,2.3,6.4,79,1010.3
2020/1/19,5.8,12,-0.4,0,8.9,0,1.9,5.6,63,1010.2
2020/1/20,6.9,14.8,-0.7,0,9.6,0,1.9,5.7,61,1008.3
2020/1/21,6.2,10.5,2.2,0,9.7,0,5,4.8,51,1016.8
2020/1/22,3.7,9.3,-1.9,0,4.3,0,1.5,5,63,1024.5
2020/1/23,5.3,9.6,1.3,1,0,0,1.3,6.9,77,1017.6
2020/1/24,8.3,16.1,1.7,0,7.4,0,2.3,7.6,71,1018.4
2020/1/25,6.4,8.9,4.6,0,0.3,0,3.5,4.6,49,1023.9
2020/1/26,5.1,8.8,2.1,0,1.3,0,1.2,5.9,67,1022.9
2020/1/27,3.8,6,1.3,3,0,0,1.3,5.6,71,1022.5
2020/1/28,3.8,6.5,0.3,27.5,0,1,2.3,7.9,97,1015.1
2020/1/29,12.3,18.9,6.3,36,8.8,0,3.8,9.8,71,998.6
2020/1/30,11.7,18.3,6.8,0,9.3,0,3.8,6.7,51,995
2020/1/31,7.1,11.6,2.9,0,9.3,0,5.5,4.9,49,1001.6
2020/2/1,6.3,12.9,-0.4,0,10.1,0,3.5,4.8,53,1011.1
2020/2/2,7,13.2,0.9,0,10.1,0,3.2,4.5,47,1017.8
2020/2/3,7.4,13.6,0.9,0,8.3,0,2,5.7,57,1013.8
